gen,best,mean,median,top 30%,bot 30%,optimal_val
0,7423.6,7750.8279999999995,7759.9,7599.753333333334,7898.5199999999995,6922.0
1,7416.8,7728.3460000000005,7728.7,7595.199999999999,7863.586666666667,6922.0
2,7415.8,7712.544,7714.3,7574.44,7850.693333333334,6922.0
3,7407.4,7685.814,7690.7,7551.780000000001,7819.886666666667,6922.0
4,7399.0,7675.37,7683.7,7540.08,7806.653333333333,6922.0
5,7382.0,7652.733999999999,7655.3,7524.913333333332,7781.573333333334,6922.0
6,7362.2,7643.262,7645.9,7509.766666666667,7779.593333333333,6922.0
7,7357.6,7634.0999999999985,7637.7,7498.960000000001,7768.6,6922.0
8,7346.2,7630.5740000000005,7636.0,7499.68,7760.006666666666,6922.0
9,7339.8,7616.441999999998,7621.9,7490.6799999999985,7739.206666666668,6922.0
